population,window_days,primary_customers,eligible_customers,incomplete_window_customers,repeat_customers,repeat_customers_collapsed_timestamp,repeat_purchase_rate,collapsed_timestamp_repeat_rate
common_90_day,30,4127,3529,598,690,689,0.19552281099461605,0.1952394446018702
common_90_day,60,4127,3529,598,1158,1157,0.32813828279965995,0.32785491640691417
common_90_day,90,4127,3529,598,1452,1452,0.4114480022669311,0.4114480022669311
own_window,30,4127,3935,192,794,791,0.20177890724269376,0.20101651842439644
own_window,60,4127,3714,413,1246,1243,0.33548734518039847,0.33467959073774906
own_window,90,4127,3529,598,1452,1452,0.4114480022669311,0.4114480022669311
